Date,Total,Male,Female
"28 Apr",2064,46,54
"6 May",2112,46,54
"11 May",2206,46,54
"19 May",2229,46,54
"21 May",2243,46,54
"29 May",2246,46,54
"4 Jun",2247,46,54
"22 Jun",2336,47,53
"6 Jul",3211,48,52
"19 Jul",4344,49,51
"3 Aug",5307,49,51
"31 Aug",10251,51,49
"16 Sep",14032,50,50
"28 Sep",16247,50.24,49.76
"13 Oct",20874,49.91,50.09
"26 Oct",38675,49.22,50.78
"9 Nov",68773,48.84,51.16
"23 Nov",105687,48.52,51.48
