Date,Total,Male,Female
"9 Jun",1368,58,42
"7 Jul",1907,56,44
"21 Jul",2977,60,40
"3 Aug",5062,60,40
"31 Aug",17777,60,40
"14 Sep",24310,60,40
"27 Sep",34442,59.3,40.7
"14 Oct",57246,57,43
"11 Nov",98829,55,45
"23 Nov",117476,55,45
