Date,Total,Male,Female
"29 Sep",39896,46.72,53.28
"13 Oct",45200,46.97,53.03
"27 Oct",50709,47.17,52.83
"10 Nov",59423,47.51,52.49
"24 Nov",73197,47.99,52.01
