Date,Total,Male,Female
"21 Apr",3618,51,49
"28 Apr",3741,51,49
"5 May",3836,51,49
"13 May",3904,51,49
"19 May",3958,51,49
"25 May",3995,51,49
"3 Jun",4024,51,49
"8 Jun",4046,51,49
"22 Jun",4133,52,48
"7 Jul",4603,52,48
"20 Jul",4662,52,48
"3 Aug",5668,52,48
"1 Sep",6702,51,49
"14 Sep",7284,51,49
"28 Sep",8431,51,49
"8 Oct",9219,51,49
"28 Oct",15659,51,49
"11 Nov",25218,50,50
"25 Nov",32874,50,50
