Date,Total,Male,Female
"22 Jul",369,53,47
"4 Aug",670,51,49
"10 Sep",1059,50,50
"24 Sep",1069,50.33,49.67
"8 Oct",1100,50.36,49.64
"22 Oct",1144,51.57,48.43
"5 Nov",1207,51.37,48.63
"19 Nov",1304,52.84,47.16
