Date,Total,Male,Female
"20 Jul",1506,64,36
"3 Aug",1973,64,36
"18 Aug",2991,61,39
"28 Aug",3697,60,40
"14 Sep",5482,59,41
"28 Sep",8288,58.08,41.92
"13 Oct",10280,56.97,43.03
"26 Oct",12161,56.08,43.92
"10 Nov",13991,55.89,44.11
"24 Nov",15231,56.02,43.98
