Date,Total,Male,Female
"28 Apr",1795,50,50
"4 May",1799,50,50
"12 May",1801,50,50
"18 May",1802,50,50
"25 May",1804,50,50
"1 Jun",1805,50,50
"7 Jun",1806,50,50
"21 Jun",1823,50,50
