Date,Total,Male,Female
"19 May",963,62,38
"1 Jun",1809,64,36
"9 Jun",2979,68,32
"21 Jun",4738,69,31
"6 Jul",8067,68,32
"19 Jul",13353,67,33
"27 Jul",17975,65,35
"15 Sep",36301,64.52,35.48
"23 Nov",77785,63.8,36.2
