Date,Total,Male,Female
"28 Sep",1891,54.36,45.64
"13 Oct",2585,53.89,46.11
"26 Oct",3200,54.09,45.91
"9 Nov",4230,54.73,45.27
"23 Nov",5249,53.82,46.18
