Date,Total,Male,Female
"6 May",952,45,55
"13 May",994,45,55
"15 Jun",1676,46,54
"8 Jul",3008,49,51
"21 Jul",4892,50,50
"1 Sep",12710,52,48
"9 Nov",41096,52.11,47.89
"24 Nov",52107,52.18,47.82
