Date,Total,Male,Female
"22 Jun",69,45,55
"7 Jul",80,50,50
"21 Jul",90,48,52
"4 Aug",103,48,52
"18 Aug",146,55,45
"1 Sep",225,66,34
"15 Sep",246,67,33
"29 Sep",280,66.79,33.21
"13 Oct",309,69.58,30.42
"27 Oct",342,70.76,29.24
"10 Nov",364,72.25,27.75
"24 Nov",386,73.32,26.68
