Date,Total,Male,Female
"8 Jun",1342,53,47
"22 Jun",2277,56,44
"6 Jul",5241,57,43
"20 Jul",11534,56,44
"3 Aug",19402,54,46
"31 Aug",41287,53,47
"14 Sep",57361,53,47
"28 Sep",73714,52.36,47.65
"12 Oct",89223,51.93,48.07
"26 Oct",104460,51.82,48.18
"9 Nov",117497,51.67,48.33
"23 Nov",132295,51.48,48.52
