Date,Total,Male,Female
"12 May",1496,44,56
"19 May",1502,44,56
"26 May",1503,44,56
"3 Jun",1504,44,56
"10 Jun",1504,44,56
"24 Jun",1515,44,56
"6 Jul",1536,45,55
"20 Jul",1555,45,55
"3 Aug",1567,45,55
"17 Aug",1642,45,55
"31 Aug",1752,45,55
"17 Sep",1801,45,55
"28 Sep",1835,45.07,54.93
"12 Oct",1872,45.09,54.91
"29 Oct",1949,46.13,53.87
"12 Nov",1991,46.41,53.59
"27 Nov",2044,46.77,53.23
