Date,Total,Male,Female
"7 Jul",781,51,49
"16 Jul",1552,49,51
"17 Aug",3839,47,53
"31 Aug",4384,47,53
"11 Oct",5669,46.83,53.17
"25 Oct",5854,47.01,52.99
"22 Nov",6219,47.34,52.66
