Date,Total,Male,Female
"6 May",2719,61,39
"12 May",5127,59,41
"20 May",6096,61,39
"27 May",7117,60,40
"3 Jun",8297,60,40
"10 Jun",10201,58,42
"23 Jun",14568,57,43
"23 Jul",30366,59,41
"3 Aug",37812,60,40
"16 Aug",42210,60,40
"1 Sep",44658,58,42
"15 Sep",45601,58,42
"29 Sep",46482,58,42
"14 Oct",47126,58,42
"27 Oct",47775,58,42
"10 Nov",49302,58,42
"24 Nov",50941,58,42
