Date,Total,Male,Female
"28 Apr",9410,44,56
"6 May",13184,43,57
"13 May",16425,43,57
"19 May",18876,42,58
"10 Jun",28381,42,58
"24 Jun",39014,42,58
"9 Jul",51224,42,58
"21 Jul",60056,42,58
"4 Aug",74219,41,59
"1 Sep",125560,42,58
"18 Sep",169088,42,58
"29 Sep",204822,41.59,58.41
"13 Oct",270587,41.02,58.98
"29 Oct",370416,40.47,59.53
"10 Nov",479196,40.24,59.76
"23 Nov",635688,40.08,59.92
