Date,Total,Male,Female
"19 Jul",220658,52,48
"2 Aug",233860,52,48
"23 Aug",259253,51,49
"30 Aug",269551,51,49
"27 Sep",315436,51,49
"4 Oct",325445,51,49
"18 Oct",348493,51,49
"25 Oct",362800,51,49
