Date,Total,Male,Female
"24 Jun",1111,52,48
"7 Jul",1134,52,48
"23 Jul",1249,51,49
"1 Sep",1388,51,49
"13 Sep",1482,52,48
"30 Sep",1824,50.88,49.12
"13 Oct",2942,46.97,53.03
"26 Oct",4757,47.07,52.93
"10 Nov",8395,44.8,55.2
"23 Nov",13236,44.25,55.75
