Date,Total,Male,Female
"13 May",2080,59,41
"18 May",2798,59,41
"26 May",4401,57,43
"1 Jun",5202,58,42
"8 Jun",6450,58,42
"22 Jun",13355,56,44
"6 Jul",24665,55,45
"20 Jul",33827,54,46
"3 Aug",43794,53,47
"31 Aug",60174,53,47
"14 Sep",67789,52,48
