Date,Total,Male,Female
"21 Apr",2614,41,59
"28 Apr",3638,42,58
"6 May",4363,42,58
"13 May",5163,41,59
"19 May",6340,41,59
"26 May",7305,41,59
"3 Jun",8548,41,59
"10 Jun",10025,41,59
"24 Jun",14714,41,59
"8 Jul",18471,41,59
"20 Jul",21115,41,59
"2 Aug",25482,41,59
"16 Aug",30377,41,59
"30 Aug",36920,41,59
"13 Sep",43207,41,59
"28 Sep",51194,41.37,58.63
"12 Oct",63275,41.26,58.74
"21 Oct",71811,41.2,58.8
"9 Nov",82677,41.2,58.8
"22 Nov",98418,41.17,58.83
