Date,Total,Male,Female
"31 May",1572,92,8
"9 Jun",4085,93,7
"22 Jun",9561,91,9
"30 Jun",13562,88,12
"4 Jul",15491,87,13
"14 Jul",17040,86,14
"28 Jul",19061,86,14
"13 Aug",24957,84,16
"25 Aug",32464,80,20
"15 Sep",55329,75,25
"29 Sep",74745,72.93,27.07
"13 Oct",111802,69.92,30.08
"27 Oct",160400,67.96,32.04
"10 Nov",197024,66.56,33.44
"24 Nov",224078,65.83,34.17
