Date,Total,Male,Female
"30 Mar",1388,60,40
"31 Mar",1565,58,42
"4 Apr",1998,56,44
"20 Apr",2709,53,47
"27 Apr",2931,55,45
"5 May",2987,54,46
"10 May",3009,54,46
"16 May",3025,54,46
"24 May",3040,54,46
"1 Jun",3082,55,45
"8 Jun",3119,55,45
"21 Jun",3148,55,45
"7 Jul",3195,55,45
"19 Jul",3249,55,45
"1 Aug",3312,56,44
"25 Aug",3402,56,44
"10 Sep",3454,56,44
"22 Sep",3511,56.11,43.89
"30 Sep",3564,56.45,43.55
"20 Oct",3700,56.51,43.49
"1 Nov",3784,56.37,43.63
