Date,Total,Male,Female
"25 May",2042,66,34
"1 Jun",2653,68,32
"8 Jun",3191,68,32
"22 Jun",4973,64,36
"6 Jul",8307,61,39
"20 Jul",12582,58,42
"3 Aug",18262,55,45
"31 Aug",25820,53,47
"14 Sep",27088,53,47
"28 Sep",28981,52.62,47.38
"12 Oct",30480,52.5,47.5
"26 Oct",32925,52.39,47.61
"9 Nov",35145,52.25,47.75
"23 Nov",37562,52.1,47.9
