Date,Total,Male,Female
"22 Jun",944,47,53
"6 Jul",1463,50,50
"21 Jul",2107,50,50
"4 Aug",2631,49,51
"31 Aug",3884,49,51
"14 Sep",4839,50,50
"29 Sep",5817,49.17,50.83
"13 Oct",7254,48,52
"25 Oct",8472,48,52
"11 Nov",9560,47.44,52.56
"25 Nov",10526,47.55,52.45
