Date,Total,Male,Female
"28 Apr",9519,59,41
"5 May",12071,58,42
"12 May",14749,58,42
"19 May",18496,56,44
"26 May",23165,55,45
"2 Jun",27549,55,45
"9 Jun",33076,54,46
"23 Jun",47896,53,47
"6 Jul",66226,52.5,47.5
"20 Jul",89869,52,48
"2 Aug",115056,52,48
"1 Sep",177571,52,48
"14 Sep",225030,51.5,48.5
"1 Oct",287008,51.2,48.8
"15 Oct",349160,51.02,48.98
"27 Oct",404048,50.8,49.2
"10 Nov",452291,50.7,49.3
"26 Nov",522581,50.5,49.5
