Date,Total,Male,Female
"14 Apr",2979,51,49
"20 Apr",3977,51,49
"27 Apr",5597,52,48
"5 May",8613,55,45
"11 May",11613,57,43
"18 May",16295,56,44
"25 May",21981,56,44
"1 Jun",30493,56,44
"8 Jun",40719,55,45
"4 Aug",334979,53,47
"16 Sep",736377,51,49
"5 Oct",862158,50.6,49.4
"12 Oct",919083,50.53,49.47
"27 Oct",1033218,50.37,49.63
"10 Nov",1156675,50.14,49.86
"24 Nov",1262494,49.93,50.07
