Date,Total,Male,Female
"26 May",1471,44,56
"1 Jun",1473,44,56
"8 Jun",1486,44,56
"22 Jun",1534,45,55
"6 Jul",1739,46,54
"20 Jul",1977,47,53
"3 Aug",2190,47,53
"1 Sep",2979,50,50
"14 Sep",3831,49,51
"28 Sep",5487,48.02,51.98
"12 Oct",9231,47.94,52.06
"26 Oct",25603,46.97,53.03
"10 Nov",46717,46.62,53.38
"27 Nov",74264,46.1,53.9
