Date,Total,Male,Female
"31 Aug",1306,49,51
"15 Sep",1958,49,51
"26 Sep",2725,52.77,47.23
"14 Oct",3589,53.19,46.81
"26 Oct",4061,52.65,47.35
"9 Nov",4524,52.48,47.52
"24 Nov",5154,51.94,48.06
