Date,Total,Male,Female
"6 May",1710,45,55
"13 May",1749,45,55
"27 May",1836,44,56
"3 Jun",1876,44,56
"10 Jun",1953,45,55
"24 Jun",1978,44,56
"8 Jul",1998,44,56
"22 Jul",2017,44,56
"4 Aug",2075,44,56
"1 Sep",2360,46,54
"16 Sep",2699,47,53
"29 Sep",3233,47.23,52.77
"12 Oct",3804,47.48,52.52
"27 Oct",4302,47.35,52.65
"11 Nov",6275,48.72,51.28
"25 Nov",10502,48.31,51.69
